Heading,Body,Star Rating,Date
kenya airways ripped us off,"aug 9 2021 my family received a positive covid test while in kenya. I called kenya airways to discuss moving the flight. They told me 'no problem' they would leave our tickets open. We should call when we have a negative test, and they would give us a new flight.  When we received negative tests, i called, and no problem, we had a flight for that night. Except they were sending me a link to pay an upcharge because tonights flight cost more than my original flight. fine. I open the link, and they are charging me $6000 on top of what i already paid for the round trip tickets. this must be a mistake, so I called back to the call center and got the same person. No, this wasnt a mistake. even though this replacement flight was literally the same scheduled flight, only a few days later, they were going to rip me off. I tried calling several times, but was given the same answer, and eventually they would hang up the receiver of the phone when I called. I put the 6000 on a credit card and we flew home that night. Kenya airways made off with my money.",,2021-08-21T13:19:50.000Z
Worst airline in the world,"Worst airline in the world. They canceled my flight and it took me two days to change my itinerary, I spoke to dozens of their support operators and received only empty promises and bullying. They just kick from one operator to another and taunt me. As a result, we succeeded in changing the route. And when I arrived at the airport, it turned out that another shoulder had been cancelled. They changed my itinerary to include the canceled flight. Again! Is a mockery. Now I have to stand in front of their counter in the crowd to torment my kids with new expectations and bullying from the airline. They simply cancel unfilled flights and collect all passengers on one flight. They save at the expense of others. Everything they do turns into a creepy useless farce with scary slow-moving clowns. Whether it's organizing a flight or online support or arranging a transfer to a hotel. Always useless waiting for hours and a mess in everything. On social media they just write to me how sorry they are that I had to endure all this. Answer every time with their stupid answers. This is why reviews don't work on their site! There will be too much truth. They ate my brain with their stupidity and unprofessionalism. They will never refund me the money for the prepaid rental car and accommodation in the Seychelles for these 3 days or return 3 days of life spent on their worthless operators!What inflamed consciousness came up with the idea to call them the pride of Africa? They are a disgrace to Africa. Africa is crying because of people like them.",,2023-06-15T20:34:28.000Z
Hostile damaged baggage policy,"I always fly KA to Kenya. Staff are polite, food is decent and service is efficient. I recently returned from a trip to Kenya, only to find my hard shell suitcase was damaged beyond use - the integrated lock was broken, as was the handle. My taxi service managed my luggage so I didn’t realise it till I’d left the airport. Their damaged luggage claims policy is designed to put claimants off. First email with photos attached was acknowledged after 3-4 week and asked me to complete a claims form that was hard to edit, and write another cover letter in a very specific format. This was sent and again never acknowledged.it was also hard to return as 2 out of 3 email addresses copied into their response rejected my email due to file size (only 3 photos and 2 simple documents attached) Three weeks later I chased up a response only to be told that wear and tear is expected and I would need to claim via my travel insurance. When I explained such insurance charges an excess that basically negates the claim value they said their decision is final. I travel a lot and have used this particular suitcase for less than 20 flights - it was in good condition. Where an airline damaged my suitcase one other time, I received an instant replacement. Frankly, Kenya Airways has a hostile damaged baggage claim policy designed to put all but the most persistent claimants off. KLM as a parent company should take a good look at this. I’m disgusted by such a lack of integrity and professional responsibility.",1,2023-05-25T09:46:37.000Z
KQ Terrible customer service and KQ customer relations don't bother to reply,"Sudden cancellation then change of flight. I was checking in a third bag which I could pay for in USD according to the website but the KQ staff insisted I have to pay in rand in South Africa at the airport. Yet I had put in I am checking in a 3rd bag. Their system was down for a while a day before the flight. They claimed I was going to miss my flight and said if I went to get my tax revenue I would miss my flight. Because that is the money I would have used to pay for my 3rd bag. They insisted I leave my third bag in South Africa, which I had to do. I am from Uganda! When I got to immigration I was so upset and immigration told me my flight was not for another hour and they said it was wrong for KQ to have done that. Immigration was sympathetic.When I got to Kenya (transit), they claimed that my ticket from Johannesburg was still open and appears I did not fly in and they started asking me how I got to Kenya! I said I probably walked or took the ferry!! Then it became a back and forth with me walking up and down as I am sent from one KQ ticket desk to another! I finally managed to secure a seat and got to Uganda much later meaning I failed to spend New Year’s with my 82 year old mother!When I got to Entebbe, my home country airport there was further delay because they had misplaced my luggage! I got it two days later and they had managed to break my Panini press which has been well packed in my case! I put in a complaint as soon as I found out in Jan and now its April and still no response from KQ. Once a real person wrote to me and then did not get back all these months. When I write I am sent numerous 4 references numbers from their customer relations but zero action. I have no idea why KQ is still in operation. At the airport in Kenya a passenger travelling from a foreign land told the customer service that when they found out his predicament all they had to do was apologise. The KQ customer service just looked at him bluntly and never said sorry! They don't care and they don’t know airlines collapse for such reasons!",,2024-04-25T07:04:35.000Z
Joker airline,"I booked a return business class flight from Heathrow to Zambia. Everything went well until a night before my return when I accidentally stumbled on an email to check-in in a weird way. Usually I prefer to check in at the airport, but the email did not seem like a proper check in email. On reading further , I saw that They had cancelled my already pre booked  flight from 4months prior and rescheduled to a flight that was not suitable without prior notice. They basically informed me that if I couldn’t get on that flight , I should book something else and get a refund after.  Booking a return flight less than 24 hrs before take off!!! WHO DOES THAT!!! People have priorities, people plan their lives to prevent disappointments. People have responsibilities that need to be attended to. I had to rebook a one way return flight that was over £2300 with another airline so that I can make my commitments in Zambia to fit in with my previous plan. My total flight cost was approximately £2500 before this disaster which I thought was a good deal. Efforts to contact customer service that night was unsuccessful. They picked up and when you start talking they hang up. I submitted a complaint and their response was they can only offer me $200 of travel money for my inconvenience which I have decided not to accept as it’s a slap in the face. What a joke of an airline. Avoid at all cost. It will definitely get grounded in the nearest future or probably go into administration.",,2023-06-26T10:40:26.000Z
Worst airline in the whole world!,"I am writing to express my deep disappointment and frustration regarding the experience my family and I had on our recent flight with Kenya Airways. Our journey, which took place on 5th May from Toronto to Nairobi, was marred by a series of issues that significantly impacted our comfort and overall satisfaction.First and foremost, the condition of the seating on the aircraft was unacceptable. The seats in our designated area were unable to recline, making it impossible for us to find a comfortable position for the duration of the flight. Additionally, three out of the four screens in our section were non-functional, depriving both adults and children of any entertainment options during the flight.Furthermore, we encountered serious problems with the meal service. As passengers seated towards the back of the plane, my family and I were informed that all non-vegan meal options had been exhausted, leaving us with only vegan choices for the entirety of the journey. This lack of sufficient meal provisions was highly disappointing and left us feeling neglected and hungry throughout the flight.Moreover, the earphone inputs provided were faulty, rendering them unusable and further contributing to the overall dissatisfaction with the onboard amenities. As a 6-foot, 230-pound man, I found the seating arrangements wholly inadequate and was not even offered a proper seat that could accommodate me comfortably.Overall, this experience was deeply disappointing and fell far short of the standard of service that we expected from Kenya Airways.",,2024-05-13T17:51:25.000Z
"Asthma attack, panic attack","I booked 2 seats for my husband and myself August 20th, 2022. Our flight was delayed until 1:10am We were separated during a 14 hour flight from Nairobi to NY. I can not travel by air without my emotional support partner. They could not sit us together. The flight was full. People were arguing. I had tremendous anxiety and panic attack. I had to take a massive dose of sedatives on board. Dropped my pills all over the floor. The woman next to me had a dog. I had to use my rescue Inhaler every 30 minutes. Finally passed out from all the sedatives I took. Woke up to a child screaming relentlessly. I had severe chest pains, tight chest, wheezing, cough, nausea, hands and feet were numb the whole flight. Food was terrible. Worst experience of my life. Took a trip to the ER when we landed and had to have IV steroids for broncho-constriction and IVFs for dehydration. Never again. I just wanted to go home. They also checked our bags multiple times. I just wanted to sit down before the flight before I passed out. You can go through my bags all you want, but have a chair I can sit and rest if you're going to put me through that. Obviously I am tired. I'm not healthy and young anymore.",1,2022-08-22T11:24:40.000Z
Best flight,Had the best flight with Kenya Airways. The cabin crew are so friendly and I would definitely recommend them,1,2022-05-02T18:39:01.000Z
I was flying to Johannesburg and the…,I was flying to Johannesburg and the experience was great and 8 out of 10 and in the process made friends whom happens to be KQ workers such a great vibe,,2022-12-08T22:44:33.000Z
Kenya airways do not offer accommodation to overnight layover clients,The airline doesnt offer accommodation if you have overnight lay over.,,2024-06-24T01:23:51.000Z
A caricature of how the airlines sector is slowly crumbling,"KQ used to be good but service has been deteriorating significantly over the years. Let me start with the positives... the pilots are good. I have always enjoyed smooth flights with KQ. Unfortunately, that's the end of the positives. Flights are consistently delayed, queue management is dismal, the complete loss of flexibility for baggage weight (i was asked to pay excess baggage for 2 kgs extra for the first time in 20 years of flying with multiple airlines around the world), client facing staff seem either upset or apathetic most of the time and baggage management is undependable (they have misplaced my check-in baggage on multiple occasions now each time nearly doubling my travel time on short-haul flights).From what I hear, the employees are not treated particularly well by the company, and I empathize with them losing motivation. However, that said, I cannot continue to fly again with such an unprofessional airline and have decided to use one of the many other alternatives available in this part of Africa until I see a change in the corporate culture of this airline.",,2023-03-28T11:05:36.000Z
Kenya Airways - DO NOT Use this airline.  This is the worst airline. Here are the reasons why...,"My niece traveled to Kenya in June 2022 to train with the women's national basketball team.  The team will be traveling to Loudon to compete in a tournament.  When she arrived in Kenya, her two bags did not make it to Kenya.  She then put in a missing bag claim.  Two weeks later my niece still does not have her bags, which means she have no clothes and/or personals. No one can give her any information on her bags.  It's like they disappeared!!So I decided to contact the @supportKenyaAirways to see if I could get status from the United States.  Kenya Airways contacted me on Whatapps and I explained the situation to the customer service rep.  The man said, that her bags was in transit and asked me to sent him $1.5K to get my niece bags.  So I asked him why would I send Kenya Airways $1.5K to retrieve her bags ( this does not make sense).  He came up with this crazy explanation. So, I told him this sounds like a scam and you are trying to get money from me.  Then we was disconnected. #hotmess #book-at-your-own riskBelow are reasons to NOT to waste your money on Kenya Airways:1).  Fraudulent Activities2).  Bad Customer Services3).  Lack empathy for their customers4).  Is known to lose customers luggage.5). Multiple Flight Delays and not willing to accommodate their customer.",,2022-06-20T18:45:52.000Z
"Avoid, if possible!","One and only experience with Kenyan airways was abysmal. It included a cancellation with no attempt at communicating with customers, lack of consideration for customers and what felt like a greedy way to resolve a very uncomfortable situation that the airline put myself in. Avoid where possible!",,2021-10-09T22:28:18.000Z
6 hours harrassment by kenya airways but 10 mins for ethopian airways to book ticket and helped boarding,"*** 6 hours harrassment by kenya airways but 10 mins for ethopian airways to book ticket and helped boarding on sam day for same passanger.***Extreamly terrible service even for business class passanger. They denied boarding without reason just they had hunch that passanger is not fit to fly. seriously?? please note, passanger was healthy, was walking on his own, never required any medicle equipment but just required wheelchair due to fever. we asked wheelchair and showed them doctor letter saying require wheelchair so that they can help, but insetad they denied boarding saying he needs MEDIF form signed by doctor and which take 24 hours. We even asked that we dont need wheelchair and asked them to let us boar as a norma passanger but they dont have mentality to support. Baggage counter staff said wait on side and we will help later. 2 hours past and boarding time is arrived, now same person said we cant help and you cant board. we complained to Ellinda manager but she was not ready to talk and keep saying call customer support. Called customer support no answer. emailed them for refund and its been a month but we are still following up and we have not received refund.On the other hand, Ethopian airline was very helpful. when we went to counter and explained them our situation, they not only booked ticket immediately but also provided us with extra legroom seat along with wheelchair.This is the treatment for busniess class customer. we were observing their behaviour with economy passanger which is terrible.Book if you want your blood pressure to go up and down if something goes wrong as they never help. If you want to see, just try messaging their whatsapp support, its automation will reply you quickly fo 3-4 response but then you keep waiting for hours and hours and when agent comes online, he just ask some random question and leave and you again wait for hours and hours. Its a mental harrassment. Same goes with phone line and email support. I tried all of the options and still waiting for my full refund which was promised by staff at airport.",,2024-01-07T12:55:11.000Z
Dirty plane disgusting food,Disgusting food.Plane dirtyMy seat was brokenDrinks trolley front wheel fell off by my feet.Delay in Nairobi for over 3 hours flying back to London.I will never ever fly with them again....,,2023-02-11T18:28:17.000Z
Avoid at all costs,"Avoid at all costs! Poor customer service, dirty planes, uninterested cabin crew, rubbish service and food!",,2023-07-17T02:04:53.000Z
Incompetent customer service unable to…,"Incompetent customer service unable to resolve and re-book a missed flight. Emails supposedly sent from Kenya Airways server not received on Gmail or iCloud servers despite repeated attempts. Constant dropped calls, adding up to hours on hold, repetitive explanation of issue to multiple agents, hours of international calls with no resolution. Extremely incompetent and frustrating customer service from Kenya Airways",,2021-10-24T21:31:12.000Z
Absolutely horrible..,Absolutely horrible... i flew from Joburg to Kinshasa. my flight was delayed with so many hours...and we had to wait a day for the connecting flight no comms again.... when I get to Kinshasa my bags came only after 3 days nobody knew where the were or when I would get them... as if that not enough my bags were ripped open with a knife and some of my items were missing... it was my first and last time flying with them...would not recommend them,,2022-08-21T13:58:41.000Z
Avoid if you can,"Would not recommend to my worst enemy and this is based on multiple experiences. If flights run to schedule, all is well, cabin crew are polite and friendly and I would travel with them (despite not being the most comfortable of airlines)Have experienced delay twice and Kenya airways staff at Nairobi have treated us awfully both times. The first time we were travelling with a 5 month baby from Mombasa - London. Mombasa-Nairobi flight was delayed so we missed our onward connection. We landed in Nairobi at 1am and were advised staff would be on hand to help us and we would be accommodated in a hotel as the next available flight was not due to depart until 9am (especially as our luggage including pushchair had been checked all the way through). There were no staff available. We walked to international terminal and staff member insisted we had no entitlement to hotel or food and needed to wait in the airport for 8 hours because we were economy passengers. A business class passenger who was with us very kindly insisted they give us his room because we had a baby, no pushchair and a long wait and he would use the business lounge instead. They eventually relented and sent us all to the hotel but this was their legal requirement from the outset.The second time we were delayed in the opposite direction and missed our Nairobi-Mombasa connection. We were told all flights were fully booked and we had to wait in Mombasa airport for 8 hours - once again refused to send us to a hotel. Staff lied that it would take us an hour to get there when google maps told us the allocated hotel was 15 minutes away. They eventually allowed us to use the domestic business class lounge - whilst better than nothing, they still refused us our right to a hotel room.Claims for compensation were closed and ignored until escalated via CAA and then they were forced to look at them.",4,2023-10-24T17:26:55.000Z
They have expensive and rubbish onboard…,They have expensive and rubbish onboard service. They should sell all their planes as scrap,,2023-12-04T02:08:39.000Z
Changed my flight times by 35hrs+. Refused to provide basic customer services and took no responsibilty,"I made a booking with travel2be on 24/12/21 Booking ID 19679051 from Lusaka to Dubai with Kenya Airways.On 31/12/21 at 03am I received a cancellation email that was forwarded to me saying the 2nd leg of my journey had been postponed by35hrs which would have left me stranded in Nairobi airport for the duration of that time. Within that time, my PCR TEST would haveexpired and I would have been unable to continue my journey thus leaving me stranded in an unfamiliar country. As I was informed ofthis flight change at the last minute, I did not have enough time to make alternative arrangements with regards to accommodation inKenya and rebooking a PCR TEST.Upon receiving the aforementioned email, I immediately cancelled my flights and requested a refund, in order to rebook a new journey.My reason for refund was due to the unacceptable new journey I had been put on. My refund request has been denied 3 times, each timewithout adequate justification. The changes were made by Kenya Airways and no fault of my own. Kenya Airways took no responsibility for the changes made to flight and kept refering me back to travel2be. Travel2be made made it increasinglydifficult to request cancellation.I am extremely upset with the quite shocking and unacceptable service I have received so far from Kenya Airways. How can the company that made these last minute refuse to deal with my issue or accept my refund request!.I would once more like to request for a full refund for my ticket due to the last minute changes made by Kenyan Airways to myjourney which would have left me stranded in a foreign, unfamiliar country for an unacceptable length of time.At this point in time travel2be or Kenya Airways has made no attempts rectify this situation or get back to me to this date",,2022-03-23T11:08:36.000Z
My luggage is missing for a month,"My luggage is missing for a month, I sent them a request but they never got back to me.",,2023-11-17T16:40:19.000Z
"God forbid you ask for anything, ruuude…","God forbid you ask for an alcoholic drink, flight boasts alcohol beverages included, but when you ask, you get dirty looks, eye rolls and raised brows, so rude, no manners, our stewardess stormed off when i asked for a gin and tonic and didnt come back, my partner got his drink with no mixer as the steward was too busy judging and walked off, it was as if they had beef and it put me on edge and got me feeling defensive, we ordered one alcohol drink throughout the flight but was trested like we were over ordering . Anything seemed too much to ask for, was left without water for up to half hour as after they serve food and drink that's it till next meal time, they will not serve you in-between, the light you put on for assistance might as well not be there, luckily it was nothing serious, but I was wondering what would happen if you needed them to come for good reason.  Breakfast was either sausage or egg not both together which makes no sense and left hungry.On the way there we had a blanket but not coming back, was freezing!",1,2023-03-01T22:58:37.000Z
My experience so far,I booked a return flight with Kenya Airways from Newcastle to Livingstone Zambia. On the second leg of the journey my flight was cancelled.  I was required to stay in Amsterdam 2 nights before onward travel was organised for me by KLM (Skyline Partners) Cost for the stay about £300. There was no charge for onward travel.When returning from Livingstone the airport check in was unable to process my ticket . It had not been programmed correctly. Attempts were made to rectify this but despite 4 hours of effort the return flight left without me.I contacted Kenya Airways. They offered me a new flight ( for 2 days later ) that they said I would need to pay about £1200. Huh! I was at the airport and available to travel but must pay for a new flight? What's that all about?As it was the flight offered was unacceptable. It involved an 11 hour layover in Nairobi. Not something a person of my age and medical conditions could endure. No alternative was offered despite my request. I could clearly see that better alternative flights were available.With no further response forthcoming I booked a return flight with Air France another Skyline partner of Kenya Airways. The cost of the two day delay a further £300 for accommodation etc. Then the price of a new ticket another £1000. My original ticket was about £700 and seemed good value at the time.So I had a ticket that was invalid on the return trip. £600 of expense for the 4 days I was obliged to stay extra in Amsterdam and Livingstone. £1000 for the cost of a new ticket to get myself back home.Total. I reckon Kenya Airways owes me about £1600.Will I get it?Initial negotiations  are not going well. Customer relations are not coming up with any answers to my questions as yet.Early days but having read other people's reviews I'm  not sure that the airline actually refunds anything?Is a legal challenge the only option?If someone from Kenya Airways actually monitors Trustpilot I'd  love to know your response and how you will assist me.Update. Refund for flight ticket received  6 months later. Other expenses covered by insurance  3 months later,,2024-04-15T14:30:54.000Z
Theives on board be ware..Be careful on…,"Theives on board be ware..Be careful on the flight, they also carry pickpockets or chokoraa.",,2024-01-19T13:49:31.000Z
Will deny you boarding because they are…,Will deny you boarding because they are overbooking their flightStay away,,2023-09-16T14:30:11.000Z
From beginning to end our experience…,"From beginning to end our experience was dreadful. We have problems trying to board flight. Covid was causing some issues. If they had taken the time to to look at our paperwork and listen to us there shouldn't have been a problem. Food was diabolical. Got to Nairobi and flight had been delayed by 12 1/2 hours and wasn't told anything about accommodating us for this period. The hotel and journey to it are a whole other saga. Due the the delay of connecting flight in Nairobi we then went on to miss the next two connecting flights. I spoke to the check-in desk asking what is happening about our connecting flights.  The man there out and out lied to us saying the boarding pass's are valid for the next leg of the journey. No they weren't.During flight they were supposably sorting this out. No they didn't. In effect we had been dumped. So when we got to Amsterdam we didn't have a connecting flight. We had not been given any information as to were to go and sorting out our transfer. We got to the transfer counter and there was nothing on the system about us. I will add at this point we were a family of five, one of which was a two year old. The young lady at the transfer did give us our flight to Dublin. She did say however, that she wouldn't charge us for this flight but they wouldn't be able to do this again. We had already paid for this flight. I've had to put a one star rating to write this review but quite frankly, they don't deserve that. Needless to say,  would not recommend Kenyan airways at all. We only went with them because our flights home had been cancelled and there wasn't a choice. Do you research before going with this company.",1,2022-01-03T16:47:26.000Z
avoid this airline like the plague,"avoid this airline like the plague, atleast we warned you..the only problem is we dont have an option for zero stars",1,2023-12-08T10:38:43.000Z
A pure nightmare,"They cancelled my flight without a previous notification and refund because I didn't board the previous flight. No respect for passenegers, arrogant customer service. Never again!",,2023-11-19T16:14:04.000Z
Kenyan Airways a disappointing experience,"Travelling from Mombasa to Nairobi using Kenyan Airways, was without doubt a miserable experience!We sat on the runway and took off 30+ minutes late.To get a drink of any kind was almost a humiliating experience! When given it seemed the stewardess begrudged us them!During the flight an elderly lady fainted and the sight of her being manhandled down the aisle, in a bear hug, will haunt me for ever!Arriving late we were subjected to a race across to International departures, two interminable baggage/body searches (yes they are necessary) then a run through the airport accompanied by a Kenyan Airways staff member to arrive at the boarding gate to be told too late doors closed. The reported fact that the flight took off two minutes early hardly made us satisfied customers!Now Kenyan Airways really made their indelible impression!We were told to go to rebooking. On arrival we found one poor member of staff trying to deal with at least 12 passengers, all of whom had had enough, and were baying for blood!Fortunately another staff member arrived and eventually we were dealt with. After an interminable wait a flight for the next day was arrange. Our passports taken and an immigration note handed to us. We were then sent to baggage reclaim to have hotel accommodation arranged. The clerk clear uninterested in weary travellers made the barest effort and seemed disinclined to earn his wages, was eventually persuaded to secure a hotel, and sent us into the car park to find Holiday Cars transport. It was nowhere near where he had directed us, but we found it.The lady in charge demanded a blue slip, and was disgruntled that I hadn’t been given it. A telephone call confirmed we were entitled to travel and she ushered us aboard the bus. We were told we were waiting for one other traveller, some two hours later and a further 5 passengers we got on our way! The journey took only 20 minutes, enough time to have made the three trips that would have seen customers ensconced in the hotel in a timely manner!To our amazement we were expected and the booking in experience was faultless!We were pointed to the dining area where we were assured food was waiting for us.Not so! Eventually a tureen of soup and a bowl of bread rolls arrived. Having had nothing to eat or drink for 8 hours, heaven had arrived! Or had it? The soup was cold, the bread rolls stale, but were eaten. The only others from the bus, two hardy Brits, came in had one spoonful of soup, disappeared in disgust to their rooms. After another long wait food started to appear. A tray of greens, a tray of what looked like roast potatoes, then a tray of fish and a tray of what could have been chicken in a brown sludge.One look persuaded us that none of the food on offer was worth risking, we retired to our rooms. We now ha 90 minutes before being picked up for our return to the airport. I decided a shower and a cat nap were in order.Imagine the scene! I am naked ready for a shower, turn the water on and a mere trickle comes out of the down spout, trying to engage the shower the knob comes away in my hand. Ah well sleep it was.Once in reception I informed the desk clerk of my misfortune, with the shower, he shrugged gave me the bill to sign and ignored me!The price of the stay was less than £10, not worth £5. I bet that the hotel survives on Kenyan Airways, will never fix the shower.Kenyan Airways your advertising slogan does not live up to your claim!",,2023-03-01T18:44:52.000Z
"3 bookings, 3 flights cancelled, no support","Mine and my husband's flight was supposed to be on April 16th, 2:40 AM from Mumbai to Kigali. At 09:30 PM on April 15th, we arrived at the airport and saw that the first flight (to Nairobi) had been delayed 9 hours, and I would now depart at 11:45 AM on April 16th. We were already frustrated, as we would miss our connection to Kigali and have to arrive one day later. However, we tried to be patient and wait for the hotel/transport/food voucher.  We waited for 4 hours at the airport, during which the Kenya Airways staff said they were ""trying to book a hotel"", but NOTHING was provided. At 2 AM we were so frustrated and tired that we decided to book a hotel/dinner/taxi from our pocket and try to get a few hours of sleep.Due to this delay, we missed our 1-hour connection from Nairobi to Kigali, and instead, we were allocated an 8:30-hour connection in Nairobi. Our original itinerary was to arrive in Kigali at 08:10 AM on April 16th, and instead, we were now allocated to arrive at 00:35 AM on April 17th. Kenya Airways staff reassured us several times that we would get a hotel in Nairoibi during the connection, but when we got to Nairobi, they said they could only provide dinner, and we were given the wrong information. We also tried moving to an earlier flight from Rwandair from Nairobi to Kigali, but we were denied this request and completely disregarded by Kenya Airways staff in Nairobi. They didn't seem to care at all about our situation.To have ZERO support for a 9-hour delay on a night flight, to stand for 4 hours waiting for our assistance/information that never happened, be misled by the staff who assured us we would get a hotel in Mumbai and Nairobi, and be disregarded in such a way for the staff after all we've been through were the most disrespectful situation and worst customer service we have ever faced with an airline.In addition, I faced a similar situation on my outbound flight from Kigali to Mumbai, which was cancelled when we were about to board, at the gate. At that time, I spent five hours at the airport waiting for information, just to be told I should go to a three-star hotel and wait to hear about my new flight. I then missed my connection from Nairobi to Mumbai and was only able to arrive 1 day later.This is the third flight I take (from 3 bookings) with Kenya Airways that gets cancelled or delays for several hours. It reassures us that we can't trust the airline, the words of the employees, and the company policies, some mentioned on the Kenya Airways website, such as ""We will rebook you to next available Kenya Airways flights or an alternative airline to your destination shown on the ticket within a reasonable time"", ""During flight delayed or cancelled, we will provide you essential service such as accommodation, meals, ground transportation as the situation requires.""I couldn't be more frustrated and tired with Kenya Airways services and communication, but I expect an answer and AT LEAST a good compensation for all my husband and I had to go through.",,2024-04-16T19:47:13.000Z
"3 bookings, 3 flights cancelled, no support","Mine and my husband's flight was supposed to be on April 16th, 2:40 AM from Mumbai to Kigali. At 09:30 PM on April 15th, we arrived at the airport and saw that the first flight (to Nairobi) had been delayed 9 hours, and I would now depart at 11:45 AM on April 16th. We were already frustrated, as we would miss our connection to Kigali and have to arrive one day later. However, we tried to be patient and wait for the hotel/transport/food voucher.  We waited for 4 hours at the airport, during which the Kenya Airways staff said they were ""trying to book a hotel"", but NOTHING was provided. At 2 AM we were so frustrated and tired that we decided to book a hotel/dinner/taxi from our pocket and try to get a few hours of sleep.Due to this delay, we missed our 1-hour connection from Nairobi to Kigali, and instead, we were allocated an 8:30-hour connection in Nairobi. Our original itinerary was to arrive in Kigali at 08:10 AM on April 16th, and instead, we were now allocated to arrive at 00:35 AM on April 17th. Kenya Airways staff reassured us several times that we would get a hotel in Nairoibi during the connection, but when we got to Nairobi, they said they could only provide dinner, and we were given the wrong information. We also tried moving to an earlier flight from Rwandair from Nairobi to Kigali, but we were denied this request and completely disregarded by Kenya Airways staff in Nairobi. They didn't seem to care at all about our situation.To have ZERO support for a 9-hour delay on a night flight, to stand for 4 hours waiting for our assistance/information that never happened, be misled by the staff who assured us we would get a hotel in Mumbai and Nairobi, and be disregarded in such a way for the staff after all we've been through were the most disrespectful situation and worst customer service we have ever faced with an airline.In addition, I faced a similar situation on my outbound flight from Kigali to Mumbai, which was cancelled when we were about to board, at the gate. At that time, I spent five hours at the airport waiting for information, just to be told I should go to a three-star hotel and wait to hear about my new flight. I then missed my connection from Nairobi to Mumbai and was only able to arrive 1 day later.This is the third flight I take (from 3 bookings) with Kenya Airways that gets cancelled or delays for several hours. It reassures us that we can't trust the airline, the words of the employees, and the company policies, some mentioned on the Kenya Airways website, such as ""We will rebook you to next available Kenya Airways flights or an alternative airline to your destination shown on the ticket within a reasonable time"", ""During flight delayed or cancelled, we will provide you essential service such as accommodation, meals, ground transportation as the situation requires.""I couldn't be more frustrated and tired with Kenya Airways services and communication, but I expect an answer and AT LEAST a good compensation for all my husband and I had to go through.",,2024-04-16T19:47:13.000Z
Enjoyed flying with Kenya Airways,"Enjoyed flying with Kenya Airways , flight was smooth .",,2023-02-18T16:45:05.000Z
KENYA AIRWAYS' NEGLIGENCE & INADEQUACY,"I had booked my flight ticket to depart  from O R Tambo International Airport - Johannesburg, on the 2nd of May 2023 at 1:15 AM, having a booking reference number of 4C8N8P and bearing a total cost of $488.92. The intended flight in which my economy class ticket was booked, was supposed to take off from the O R Tambo International Airport - Johannesburg, having flight number 765. I had booked the above-mentioned flight ticket through the website: FlightHub, which is a flight ticket aggregator website on the internet. I had successfully booked two way flight tickets to and from Johannesburg through FlightHub and the airline I booked the flight tickets on were Kenya Airways, and I successfully arrived in Johannesburg on the 19th of April, 2023. Upon my arrival, I wanted to reschedule my return flight, for which I started communicating with the Kenya Airways Customer Service Department. My first attempt to communicate with the Kenya Airways Customer Service Department was on the 30th of April, 2023 at 9 AM, which is before a period of 48 hours from the intended departure date and time. I repeatedly tried contacting the Kenya Airways Customer Service Department from 30th April, 2023 till 2nd May, 2023, even after the departure of the flight from O R Tambo International Airport - Johannesburg, but with no luck. Its now two weeks later, and I still do not have a return date nor ticket. My intended changed date was 9th May 2023, and I had to fly with another airline on 23rd May 2023, and at Airport I was given overstay ban of 1 Year. They messed up my plans for 14 days, and that cost me lot of extra unplanned expenses, and also became sick because of emotional damages. I email and open an a support ticket on their website but they have been so slow. I had no other choice to engage in legal actions against Kenya Airways for all the damages caused to me. They have a mediocre and dumb call centre response, an inadequate problem solving skills. I do not recommend this airline. Imagine to the point, I had to book another return ticket with a different Airline, because they never resolved the matter. They will have to pay for all my expenses.",,2023-06-19T17:53:44.000Z
Comfort on board and pleasant crew,"Comfort on board, pleasant crew, ontime performace, easy transfer at Nairobi airport",,2023-09-05T09:17:05.000Z
